,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence,year,tempo,liveness
pos1999,0.3752865055499999,0.5408461999999995,228369.1395,0.5399193000000005,0.042768616975,-10.17354000000003,0.04671305000000001,0.5825594499999995,1975.313,116.37791399999995,0.19517389999999957
pos2000,0.32838312300000033,0.5423131999999998,232721.617,0.5709974499999998,0.04995991865500003,-9.798570999999974,0.04729660000000008,0.5952857000000006,1975.357,117.29032999999983,0.19456670000000031
pos2001,0.3526374729000003,0.538615199999999,232559.5545,0.5517631500000006,0.04503151219000006,-10.01876250000002,0.04703995,0.57520725,1976.1645,117.63352999999987,0.1933630999999999
pos2002,0.3491184057000007,0.5368416999999998,236715.105,0.5522284000000002,0.044859856170000045,-10.008359500000024,0.04636755000000005,0.5699169500000002,1976.235,117.30773049999992,0.19693084999999988
pos2003,0.35761435340000064,0.5325255000000004,236501.1405,0.5467130000000007,0.0445557778050001,-10.046883000000024,0.04587340000000006,0.5614370999999998,1976.3535,117.56304149999994,0.1935048500000001
pos2004,0.35551893840000104,0.5317964999999998,238882.6525,0.5481999500000004,0.04394580426500006,-10.042189000000011,0.045790150000000085,0.5581320999999996,1976.7125,117.67958299999995,0.19608715000000002
pos2005,0.3601711984500008,0.5257769999999994,240965.627,0.5442228500000009,0.04366575915500007,-10.03048950000002,0.04509205000000007,0.5482792999999996,1977.2435,117.925524,0.19723595000000027
pos2006,0.35898512395000093,0.5250765000000001,242268.118,0.5439827500000001,0.043970166605000055,-9.996231500000022,0.044868300000000035,0.5412445999999995,1977.798,117.5365745000001,0.19596400000000028
pos2007,0.3605484951500002,0.5213970000000001,243346.4985,0.5439651500000002,0.04373795438500002,-9.899055500000019,0.044345350000000026,0.5321168500000001,1978.9495,117.22740150000007,0.19590370000000015
pos2008,0.35735351645000074,0.5227370000000001,242797.6805,0.5437419,0.044993881055000046,-9.96100900000002,0.044688599999999995,0.5379095999999999,1978.164,117.45665900000007,0.19614275000000025
pos2009,0.34077636810999984,0.5264699999999995,248805.621,0.5602294999999998,0.04472043748499999,-9.688639000000002,0.044262849999999986,0.5269232500000004,1981.456,118.26024250000006,0.1967615000000004
pos2010,0.3412637308499999,0.5258970000000002,247859.9325,0.5599391499999996,0.045165321164999946,-9.671284000000004,0.04409379999999997,0.5292272500000005,1981.2645,118.35285050000006,0.1953048000000003
pos2011,0.3344478689299996,0.5269769999999996,251079.7255,0.5630748999999993,0.04386202262500002,-9.572335000000011,0.04431084999999994,0.51940315,1982.914,118.58372649999993,0.19351925000000014
pos2012,0.3293293879799997,0.5286460000000003,252780.8975,0.566719899999999,0.045772274854999954,-9.49132450000001,0.044696549999999925,0.5160760999999998,1983.9405,118.73397800000004,0.19274124999999992
pos2013,0.32754105442999987,0.5306654999999995,253730.674,0.5698562499999987,0.04442845914499999,-9.439680000000015,0.045224749999999966,0.5145094,1984.6435,118.7642635000001,0.19277229999999995
pos2014,0.3162623811700004,0.5293594999999989,257348.932,0.5759926999999996,0.04888433758999995,-9.309393500000015,0.04599430000000009,0.5068753000000003,1985.903,118.77628450000027,0.19274494999999986
pos2015,0.30423396486999993,0.5302585,259002.4445,0.5847780574999994,0.048027989829999965,-9.157231999999992,0.048217699999999995,0.5004101499999999,1987.455,119.02600250000025,0.19243719999999967
pos2016,0.29428287341999987,0.5321769999999999,261057.605,0.5919034000000004,0.048767425220000084,-9.088880499999988,0.04921570000000002,0.4993898500000003,1987.917,119.82965000000034,0.19517324999999966
pos2017,0.2888894918699997,0.5311289999999994,261790.696,0.592784550000001,0.04879241041000005,-9.078726500000002,0.049569949999999995,0.4988866500000006,1988.215,119.6895785000004,0.19451054999999973
pos2018,0.28623626421999987,0.5342954999999996,260991.629,0.59686275,0.048438491405000034,-8.973014500000001,0.05028939999999999,0.4965920500000005,1988.893,119.92183350000046,0.19468379999999982
